CUSTOMER_ID,CUSTOMER_NAME,SEGMENT
BD-117251,BRUCE DEGENHARDT,Consumer
BG-117401,BRUCE GELD,Consumer
BS-117551,BRUCE STEWART,Consumer
BD-117701,BRYAN DAVIS,Consumer
BM-117851,BRYAN MILLS,Consumer
BS-118001,BRYAN SPRUELL,Home Office
CM-118151,CANDACE MCMAHON,Corporate
CM-118301,CARI MACINTYRE,Corporate
CS-118451,CARI SAYRE,Corporate
CS-118601,CARI SCHNELLING,Consumer
CJ-118751,CARL JACKSON,Corporate
CL-118901,CARL LUDWIG,Consumer
CW-119051,CARL WEISS,Home Office
CD-119201,CARLOS DALY,Consumer
CM-119351,CARLOS MEADOR,Consumer
CS-119501,CARLOS SOLTERO,Consumer
CA-119651,CAROL ADAMS,Corporate
CD-119801,CAROL DARLEY,Consumer
CT-119951,CAROL TRIGGS,Consumer
CJ-120101,CAROLINE JUMPER,Consumer
CB-120251,CASSANDRA BRANDOW,Consumer
CG-120401,CATHERINE GLOTZBACH,Home Office
CA-120551,CATHY ARMSTRONG,Home Office
CH-120701,CATHY HWANG,Home Office
CP-120851,CATHY PRESCOTT,Corporate
CC-121001,CHAD CUNNINGHAM,Home Office
CM-121151,CHAD MCGUIRE,Consumer
CS-121301,CHAD SIEVERT,Consumer
CC-121451,CHARLES CRESTANI,Consumer
CM-121601,CHARLES MCCROSSIN,Consumer
CS-121751,CHARLES SHELDON,Corporate
CM-121901,CHARLOTTE MELTON,Consumer
CK-122051,CHLORIS KASTENSMIDT,Consumer
CC-122201,CHRIS CORTES,Consumer
CM-122351,CHRIS MCAFEE,Consumer
CS-122501,CHRIS SELESNICK,Corporate
CA-122651,CHRISTINA ANDERSON,Consumer
CD-122801,CHRISTINA DEMOSS,Consumer
CV-122951,CHRISTINA VANDERZANDEN,Consumer
CA-123101,CHRISTINE ABELMAN,Corporate
CK-123251,CHRISTINE KARGATIS,Home Office
CP-123401,CHRISTINE PHAN,Corporate
CS-123551,CHRISTINE SUNDARESAM,Consumer
CC-123701,CHRISTOPHER CONANT,Consumer
CM-123851,CHRISTOPHER MARTINEZ,Consumer
CS-124001,CHRISTOPHER SCHILD,Home Office
CB-124151,CHRISTY BRITTAIN,Consumer
CC-124301,CHUCK CLARK,Home Office
CM-124451,CHUCK MAGEE,Consumer
CS-124601,CHUCK SACHS,Consumer
CC-124751,CINDY CHAPMAN,Consumer
CS-124901,CINDY SCHNELLING,Corporate
CS-125051,CINDY STEWART,Consumer
CG-125201,CLAIRE GUTE,Consumer
CB-125351,CLAUDIA BERGMANN,Corporate
CC-125501,CLAY CHEATHAM,Consumer
CL-125651,CLAY LUDTKE,Consumer
CR-125801,CLAY ROZENDAL,Home Office
CK-125951,CLYTIE KELTY,Consumer
CC-126101,COREY CATLETT,Corporate
CR-126251,COREY ROPER,Home Office
Co-126401,COREY-LOCK,Consumer
CM-126551,CORINNA MITCHELL,Home Office
CC-126701,CRAIG CARREIRA,Consumer
CC-126851,CRAIG CARROLL,Consumer
CL-127001,CRAIG LESLIE,Home Office
CM-127151,CRAIG MOLINARI,Corporate
CR-127301,CRAIG REITER,Consumer
CY-127451,CRAIG YEDWAB,Corporate
CK-127601,CYMA KINNEY,Corporate
CA-127751,CYNTHIA ARNTZEN,Consumer
CD-127901,CYNTHIA DELANEY,Home Office
CV-128051,CYNTHIA VOLTZ,Corporate
CR-128201,CYRA REITEN,Home Office
DK-128351,DAMALA KOTSONIS,Corporate
DC-128501,DAN CAMPBELL,Consumer
DL-128651,DAN LAWERA,Consumer
DR-128801,DAN REICHENBACH,Corporate
DK-128951,DANA KAYDOS,Consumer
DB-129101,DANIEL BYRD,Home Office
DL-129251,DANIEL LACY,Consumer
DR-129401,DANIEL RAGLIN,Home Office
DM-129551,DARIO MEDINA,Corporate
DB-129701,DARREN BUDD,Corporate
DK-129851,DARREN KOUTRAS,Consumer
DP-130001,DARREN POWERS,Consumer
DM-130151,DARRIN MARTIN,Consumer
DS-130301,DARRIN SAYRE,Home Office
DV-130451,DARRIN VAN HUFF,Corporate
DB-130601,DAVE BROOKS,Consumer
DH-130751,DAVE HALLSTEN,Corporate
DK-130901,DAVE KIPP,Consumer
DP-131051,DAVE POIRIER,Corporate
DB-131201,DAVID BREMER,Corporate
DF-131351,DAVID FLASHING,Consumer
DK-131501,DAVID KENDRICK,Corporate
DP-131651,DAVID PHILIPPE,Consumer
DS-131801,DAVID SMITH,Corporate
DW-131951,DAVID WIENER,Corporate
DB-132101,DEAN BRADEN,Consumer
DK-132251,DEAN KATZ,Corporate
Dp-132401,DEAN PERCER,Home Office
DE-132551,DEANRA ENO,Home Office
DB-132701,DEBORAH BRUMFIELD,Home Office
DC-132851,DEBRA CATINI,Consumer
DG-133001,DEIRDRE GREER,Corporate
DL-133151,DELFINA LATCHFORD,Consumer
DL-133301,DENISE LEINENBACH,Consumer
DM-133451,DENISE MONTON,Corporate
DB-133601,DENNIS BOLTON,Home Office
DK-133751,DENNIS KANE,Consumer
DP-133901,DENNIS PARDUE,Home Office
DB-134051,DENNY BLANTON,Consumer
DJ-134201,DENNY JOY,Corporate
DO-134351,DENNY ORDWAY,Consumer
DA-134501,DIANNA ARNETT,Home Office
DV-134651,DIANNA VITTORINI,Consumer
DW-134801,DIANNA WILSON,Home Office
DL-134951,DIONIS LLOYD,Corporate
DJ-135101,DON JONES,Corporate
DM-135251,DON MILLER,Corporate
DW-135401,DON WEISS,Consumer
DB-135551,DOROTHY BADDERS,Corporate
DD-135701,DOROTHY DICKINSON,Consumer
DW-135851,DOROTHY WARDLE,Corporate
Dl-136001,DORRIS LIEBE,Corporate
DB-136151,DOUG BICKFORD,Consumer
DJ-136301,DOUG JACOBS,Consumer
DO-136451,DOUG O'CONNELL,Consumer
DB-136601,DUANE BENOIT,Consumer
DH-136751,DUANE HUFFMAN,Home Office
DN-136901,DUANE NOONAN,Consumer
EB-137051,ED BRAXTON,Corporate
EJ-137201,ED JACOBS,Consumer
EL-137351,ED LUDWIG,Home Office
EB-137501,EDWARD BECKER,Corporate
EH-137651,EDWARD HOOKS,Corporate
EN-137801,EDWARD NAZZAL,Consumer
EK-137951,EILEEN KIEFER,Home Office
EM-138101,ELENI MCCRARY,Corporate
EM-138251,ELIZABETH MOFFITT,Corporate
EB-138401,ELLIS BALLARD,Corporate
ER-138551,ELPIDA RITTENBACH,Corporate
EB-138701,EMILY BURNS,Consumer
ED-138851,EMILY DUCICH,Home Office
EG-139001,EMILY GRADY,Consumer
EP-139151,EMILY PHAN,Consumer
EB-139301,ERIC BARRETO,Consumer
EH-139451,ERIC HOFFMANN,Consumer
EM-139601,ERIC MURDOCK,Consumer
EB-139751,ERICA BERN,Corporate
EH-139901,ERICA HACKNEY,Consumer
EH-140051,ERICA HERNANDEZ,Home Office
ES-140201,ERICA SMITH,Consumer
EA-140351,ERIN ASHBROOK,Corporate
EC-140501,ERIN CREIGHTON,Consumer
EM-140651,ERIN MULL,Consumer
ES-140801,ERIN SMITH,Corporate
EM-140951,EUDOKIA MARTIN,Corporate
EB-141101,EUGENE BARCHAS,Consumer
EH-141251,EUGENE HILDEBRAND,Home Office
EM-141401,EUGENE MOREN,Home Office
EJ-141551,EVA JACOBS,Consumer
EB-141701,EVAN BAILLIET,Consumer
EH-141851,EVAN HENRY,Consumer
EM-142001,EVAN MINNOTTE,Home Office
FM-142151,FILIA MCADAMS,Corporate
FA-142301,FRANK ATKINSON,Corporate
FC-142451,FRANK CARLISLE,Home Office
FG-142601,FRANK GASTINEAU,Home Office
FH-142751,FRANK HAWLEY,Corporate
FM-142901,FRANK MERWIN,Home Office
FO-143051,FRANK OLSEN,Consumer
FP-143201,FRANK PREIS,Consumer
FC-143351,FRED CHUNG,Corporate
FH-143501,FRED HARTON,Consumer
FH-143651,FRED HOPKINS,Corporate
FM-143801,FRED MCMATH,Consumer
FW-143951,FRED WASSERMAN,Corporate
GH-144101,GARY HANSEN,Home Office
GH-144251,GARY HWANG,Consumer
GM-144401,GARY MCGARR,Consumer
GM-144551,GARY MITCHUM,Home Office
GZ-144701,GARY ZANDUSKY,Consumer
GH-144851,GENE HALE,Corporate
GM-145001,GENE MCCLURE,Consumer
GA-145151,GEORGE ASHBROOK,Consumer
GB-145301,GEORGE BELL,Corporate
GZ-145451,GEORGE ZREBASSA,Corporate
GR-145601,GEORGIA ROSENBERG,Corporate
GB-145751,GIULIETTA BAPTIST,Consumer
GD-145901,GIULIETTA DORTCH,Corporate
GW-146051,GIULIETTA WEIMER,Consumer
GK-146201,GRACE KELLY,Corporate
GT-146351,GRANT THORNTON,Corporate
GG-146501,GREG GUTHRIE,Corporate
GH-146651,GREG HANSEN,Consumer
GM-146801,GREG MATTHIAS,Consumer
GM-146951,GREG MAXWELL,Corporate
GT-147101,GREG TRAN,Consumer
GA-147251,GUY ARMSTRONG,Consumer
GP-147401,GUY PHONELY,Corporate
GT-147551,GUY THORNTON,Consumer
HR-147701,HALLIE REDMOND,Home Office
HD-147851,HAROLD DAHLEN,Home Office
HE-148001,HAROLD ENGLE,Corporate
HP-148151,HAROLD PAWLAN,Home Office
HR-148301,HAROLD RYAN,Corporate
HG-148451,HARRY GREENE,Consumer
HM-148601,HARRY MARIE,Corporate
HJ-148751,HEATHER JAS,Home Office
HK-148901,HEATHER KIRKLAND,Corporate
HA-149051,HELEN ABELMAN,Consumer
HA-149201,HELEN ANDREADA,Consumer
HW-149351,HELEN WASSERMAN,Corporate
HZ-149501,HENIA ZYDLO,Consumer
HG-149651,HENRY GOLDWYN,Corporate
HM-149801,HENRY MACALLISTER,Consumer
HF-149951,HERBERT FLENTYE,Consumer
HH-150101,HILARY HOLDEN,Corporate
HG-150251,HUNTER GLANTZ,Consumer
HL-150401,HUNTER LOPEZ,Consumer
IM-150551,IONIA MCGRATH,Consumer
IM-150701,IRENE MADDOX,Consumer
IG-150851,IVAN GIBSON,Consumer
IL-151001,IVAN LISTON,Consumer
JG-151151,JACK GARZA,Consumer
JL-151301,JACK LEBRON,Consumer
JO-151451,JACK O'BRIANT,Corporate
JG-151601,JAMES GALANG,Consumer
JL-151751,JAMES LANIER,Home Office
JF-151901,JAMIE FRAZER,Consumer
JK-152051,JAMIE KUNITZ,Consumer
JW-152201,JANE WACO,Corporate
JL-152351,JANET LEE,Consumer
JM-152501,JANET MARTIN,Consumer
JM-152651,JANET MOLINARI,Corporate
JO-152801,JAS O'CARROLL,Consumer
JF-152951,JASON FORTUNE-,Consumer
JG-153101,JASON GROSS,Corporate
JK-153251,JASON KLAMCZYNSKI,Corporate
JC-153401,JASPER CACIOPPO,Consumer
JF-153551,JAY FEIN,Consumer
JK-153701,JAY KIMMEL,Consumer
JC-153851,JENNA CAFFEY,Consumer
JB-154001,JENNIFER BRAXTON,Corporate
JF-154151,JENNIFER FERGUSON,Consumer
JH-154301,JENNIFER HALLADAY,Consumer
JJ-154451,JENNIFER JACKSON,Consumer
JP-154601,JENNIFER PATT,Corporate
JE-154751,JEREMY ELLISON,Consumer
JF-154901,JEREMY FARRY,Consumer
JL-155051,JEREMY LONSDALE,Consumer
JP-155201,JEREMY PISTEK,Consumer
JM-155351,JESSICA MYRICK,Consumer
JO-155501,JESUS OCAMPO,Home Office
JF-155651,JILL FJELD,Consumer
JM-155801,JILL MATTHIAS,Consumer
JS-155951,JILL STEVENSON,Corporate
JE-156101,JIM EPP,Corporate
JK-156251,JIM KARLSSON,Consumer
JK-156401,JIM KRIZ,Home Office
JM-156551,JIM MITCHUM,Corporate
JR-156701,JIM RADFORD,Consumer
JS-156851,JIM SINK,Corporate
JR-157001,JOCASTA RUPERT,Consumer
JE-157151,JOE ELIJAH,Consumer
JK-157301,JOE KAMBEROVA,Consumer
JE-157451,JOEL EATON,Consumer
JJ-157601,JOEL JENKINS,Home Office
JC-157751,JOHN CASTELL,Consumer
JD-157901,JOHN DRYER,Consumer
JG-158051,JOHN GRADY,Corporate
JH-158201,JOHN HUSTON,Consumer
JL-158351,JOHN LEE,Consumer
JL-158501,JOHN LUCAS,Consumer
JM-158651,JOHN MURRAY,Consumer
JS-158801,JOHN STEVENSON,Consumer
JD-158951,JONATHAN DOHERTY,Corporate
JH-159101,JONATHAN HOWELL,Consumer
JB-159251,JONI BLUMSTEIN,Consumer
JS-159401,JONI SUNDARESAM,Home Office
JW-159551,JONI WASSERMAN,Consumer
JA-159701,JOSEPH AIRDO,Consumer
JH-159851,JOSEPH HOLT,Consumer
JB-160001,JOY BELL-,Consumer
JD-160151,JOY DANIELS,Consumer
JS-160301,JOY SMITH,Consumer
JB-160451,JULIA BARNETT,Home Office
JD-160601,JULIA DUNBAR,Consumer
JW-160751,JULIA WEST,Consumer
JK-160901,JULIANA KROHN,Consumer
JC-161051,JULIE CREIGHTON,Corporate
JK-161201,JULIE KRIZ,Home Office
JP-161351,JULIE PRESCOTT,Home Office
JD-161501,JUSTIN DEGGELLER,Corporate
JE-161651,JUSTIN ELLISON,Corporate
JH-161801,JUSTIN HIRSH,Consumer
JM-161951,JUSTIN MACKENDRICK,Consumer
JR-162101,JUSTIN RITTER,Corporate
KM-162251,KALYCA MEADE,Corporate
KB-162401,KAREN BERN,Corporate
KC-162551,KAREN CARLISLE,Corporate
KD-162701,KAREN DANIELS,Consumer
KF-162851,KAREN FERGUSON,Home Office
KS-163001,KAREN SEIO,Corporate
KB-163151,KARL BRAUN,Consumer
KH-163301,KATHARINE HARMS,Corporate
KD-163451,KATHERINE DUCICH,Consumer
KH-163601,KATHERINE HUGHES,Consumer
KM-163751,KATHERINE MURRAY,Home Office
KN-163901,KATHERINE NOCKTON,Corporate
KB-164051,KATRINA BAVINGER,Home Office
KE-164201,KATRINA EDELMAN,Corporate
KW-164351,KATRINA WILLMAN,Consumer
KN-164501,KEAN NGUYEN,Corporate
KT-164651,KEAN TAKAHITO,Consumer
KT-164801,KEAN THORNTON,Consumer
KD-164951,KEITH DAWKINS,Corporate
KH-165101,KEITH HERRERA,Consumer
KA-165251,KELLY ANDREADA,Consumer
KC-165401,KELLY COLLISTER,Consumer
KL-165551,KELLY LAMPKIN,Corporate
KW-165701,KELLY WILLIAMS,Consumer
KB-165851,KEN BLACK,Corporate
KB-166001,KEN BRENNAN,Corporate
KD-166151,KEN DANA,Corporate
KH-166301,KEN HEIDEL,Corporate
KL-166451,KEN LONSDALE,Consumer
KM-166601,KHLOE MILLER,Consumer
KC-166751,KIMBERLY CARTER,Corporate
KH-166901,KRISTEN HASTINGS,Corporate
KN-167051,KRISTINA NUNN,Home Office
KM-167201,KUNST MILLER,Consumer
LB-167351,LARRY BLACKS,Consumer
LH-167501,LARRY HUGHES,Consumer
LT-167651,LARRY TRON,Consumer
LA-167801,LAURA ARMSTRONG,Corporate
LB-167951,LAUREL BELTRAN,Home Office
LE-168101,LAUREL ELLISTON,Consumer
LW-168251,LAUREL WORKMAN,Corporate
LL-168401,LAUREN LEATHERBURY,Consumer
LD-168551,LELA DONOVAN,Corporate
LC-168701,LENA CACIOPPO,Consumer
LC-168851,LENA CREIGHTON,Consumer
LH-169001,LENA HERNANDEZ,Consumer
LR-169151,LENA RADFORD,Consumer
LC-169301,LINDA CAZAMIAS,Corporate
LS-169451,LINDA SOUTHWORTH,Corporate
LC-169601,LINDSAY CASTELL,Home Office
LS-169751,LINDSAY SHAGIARI,Home Office
LW-169901,LINDSAY WILLIAMS,Corporate
LD-170051,LISA DECHERNEY,Consumer
LH-170201,LISA HAZARD,Consumer
LR-170351,LISA RYAN,Corporate
LC-170501,LIZ CARLISLE,Consumer
LM-170651,LIZ MACKENDRICK,Consumer
LP-170801,LIZ PELLETIER,Consumer
LP-170951,LIZ PREIS,Consumer
LT-171101,LIZ THOMPSON,Consumer
LW-171251,LIZ WILLINGHAM,Consumer
LC-171401,LOGAN CURRIE,Consumer
LH-171551,LOGAN HAUSHALTER,Consumer
LO-171701,LORI OLSON,Corporate
LF-171851,LUKE FOSTER,Consumer
LS-172001,LUKE SCHMIDT,Corporate
LW-172151,LUKE WEISS,Consumer
LS-172301,LYCORIS SAUNDERS,Consumer
LS-172451,LYNN SMITH,Consumer
MM-172601,MAGDELENE MORSE,Consumer
MC-172751,MARC CRIER,Consumer
MH-172901,MARC HARRIGAN,Home Office
MB-173051,MARIA BERTELSON,Consumer
ME-173201,MARIA ETEZADI,Home Office
MZ-173351,MARIA ZETTNER,Home Office
MD-173501,MARIBETH DONA,Consumer
MS-173651,MARIBETH SCHNELLING,Consumer
MY-173801,MARIBETH YEDWAB,Corporate
ML-173951,MARINA LICHTENSTEIN,Corporate
ML-174101,MARIS LAWARE,Consumer
MC-174251,MARK COUSINS,Corporate
MH-174401,MARK HABERLIN,Corporate
MH-174551,MARK HAMILTON,Consumer
MP-174701,MARK PACKER,Home Office
MV-174851,MARK VAN HUFF,Consumer
MO-175001,MARY O'ROURKE,Consumer
MZ-175151,MARY ZEWE,Corporate
MS-175301,MARYBETH SKACH,Consumer
MR-175451,MATHEW REESE,Home Office
MA-175601,MATT ABELMAN,Home Office
MC-175751,MATT COLLINS,Consumer
MC-175901,MATT COLLISTER,Corporate
MC-176051,MATT CONNELL,Corporate
MH-176201,MATT HAGELSTEIN,Corporate
MC-176351,MATTHEW CLASEN,Corporate
MG-176501,MATTHEW GRINSTEIN,Home Office
MF-176651,MAUREEN FRITZLER,Corporate
MG-176801,MAUREEN GASTINEAU,Home Office
MG-176951,MAUREEN GNADE,Consumer
MS-177101,MAURICE SATTY,Consumer
ME-177251,MAX ENGLE,Consumer
MJ-177401,MAX JONES,Consumer
ML-177551,MAX LUDWIG,Home Office
MS-177701,MAXWELL SCHWARTZ,Consumer
MH-177851,MAYA HERMAN,Corporate
MO-178001,MEG O'CONNEL,Home Office
MT-178151,MEG TILLMAN,Consumer
MS-178301,MELANIE SEITE,Consumer
MC-178451,MICHAEL CHEN,Consumer
MD-178601,MICHAEL DOMINGUEZ,Corporate
MG-178751,MICHAEL GRACE,Home Office
MG-178901,MICHAEL GRANLUND,Home Office
MK-179051,MICHAEL KENNEDY,Corporate
MM-179201,MICHAEL MOORE,Consumer
MN-179351,MICHAEL NGUYEN,Consumer
MO-179501,MICHAEL OAKMAN,Consumer
MP-179651,MICHAEL PAIGE,Corporate
MS-179801,MICHAEL STEWART,Corporate
MA-179951,MICHELLE ARNETT,Home Office
ME-180101,MICHELLE ELLISON,Corporate
MH-180251,MICHELLE HUTHWAITE,Consumer
ML-180401,MICHELLE LONSDALE,Corporate
MM-180551,MICHELLE MORAY,Consumer
MT-180701,MICHELLE TRAN,Home Office
MB-180851,MICK BROWN,Consumer
MC-181001,MICK CREBAGGA,Consumer
MH-181151,MICK HERNANDEZ,Home Office
MC-181301,MIKE CAUDLE,Corporate
MG-181451,MIKE GOCKENBACH,Consumer
MK-181601,MIKE KENNEDY,Consumer
MP-181751,MIKE PELLETIER,Home Office
MV-181901,MIKE VITTORINI,Consumer
MG-182051,MITCH GASTINEAU,Corporate
MW-182201,MITCH WEBBER,Consumer
MW-182351,MITCH WILLINGHAM,Corporate
MF-182501,MONICA FEDERLE,Corporate
ML-182651,MUHAMMED LEE,Consumer
MM-182801,MUHAMMED MACINTYRE,Corporate
MY-182951,MUHAMMED YEDWAB,Corporate
NL-183101,NANCY LOMONACO,Home Office
NP-183251,NARESJ PATEL,Consumer
NC-183401,NAT CARROLL,Consumer
NG-183551,NAT GILPIN,Corporate
ND-183701,NATALIE DECHERNEY,Consumer
NF-183851,NATALIE FRITZLER,Consumer
NW-184001,NATALIE WEBBER,Consumer
NC-184151,NATHAN CANO,Consumer
NG-184301,NATHAN GELDER,Consumer
NM-184451,NATHAN MAUTZ,Home Office
ND-184601,NEIL DUCICH,Corporate
NF-184751,NEIL FRANZÖSISCH,Home Office
NK-184901,NEIL KNUDSON,Home Office
NS-185051,NEOLA SCHNEIDER,Consumer
NM-185201,NEOMA MURRAY,Consumer
NC-185351,NICK CREBASSA,Corporate
NR-185501,NICK RADFORD,Consumer
NZ-185651,NICK ZANDUSKY,Home Office
NB-185801,NICOLE BRENNAN,Corporate
NF-185951,NICOLE FJELD,Home Office
NH-186101,NICOLE HANSEN,Corporate
NC-186251,NOAH CHILDS,Corporate
NS-186401,NOEL STAAVOS,Corporate
NB-186551,NONA BALK,Corporate
NP-186701,NORA PAIGE,Consumer
NP-186851,NORA PELLETIER,Home Office
NP-187001,NORA PREIS,Consumer
ON-187151,ODELLA NELSON,Corporate
OT-187301,OLVERA TOCH,Consumer
PC-187451,PAMELA COAKLEY,Corporate
PS-187601,PAMELA STOBB,Consumer
PN-187751,PARHENA NORRIS,Home Office
PH-187901,PATRICIA HIRASAKI,Home Office
PB-188051,PATRICK BZOSTEK,Home Office
PG-188201,PATRICK GARDNER,Consumer
PJ-188351,PATRICK JONES,Corporate
PO-188501,PATRICK O'BRILL,Consumer
PO-188651,PATRICK O'DONNELL,Consumer
PR-188801,PATRICK RYAN,Consumer
PG-188951,PAUL GONZALEZ,Consumer
PK-189101,PAUL KNUTSON,Home Office
PL-189251,PAUL LUCAS,Home Office
PM-189401,PAUL MACINTYRE,Consumer
PP-189551,PAUL PROST,Home Office
PS-189701,PAUL STEVENSON,Home Office
PV-189851,PAUL VAN HUGH,Home Office
PC-190001,PAULINE CHAND,Home Office
PJ-190151,PAULINE JOHNSON,Consumer
PW-190301,PAULINE WEBBER,Corporate
PS-190451,PENELOPE SEWALL,Home Office
PA-190601,PETE ARMSTRONG,Home Office
PK-190751,PETE KRIZ,Consumer
PT-190901,PETE TAKAHITO,Consumer
PB-191051,PETER BÜHLER,Consumer
PF-191201,PETER FULLER,Consumer
PM-191351,PETER MCVEE,Home Office
PB-191501,PHILIP BROWN,Consumer
PF-191651,PHILIP FOX,Consumer
PO-191801,PHILISSE OVERCASH,Home Office
PO-191951,PHILLINA OBER,Home Office
PB-192101,PHILLIP BREYER,Corporate
PF-192251,PHILLIP FLATHMANN,Consumer
PW-192401,PIERRE WENER,Consumer
QJ-192551,QUINCY JONES,Corporate
RP-192701,RACHEL PAYNE,Corporate
RA-192851,RALPH ARNETT,Consumer
RK-193001,RALPH KENNEDY,Consumer
RR-193151,RALPH RITTER,Consumer
RB-193301,RANDY BRADLEY,Consumer
RF-193451,RANDY FERGUSON,Corporate
RB-193601,RAYMOND BUCH,Consumer
RM-193751,RAYMOND MESSE,Consumer
RP-193901,RESI PÖLKING,Consumer
RE-194051,RICARDO EMERSON,Consumer
RS-194201,RICARDO SPERREN,Corporate
RB-194351,RICHARD BIERNER,Consumer
RE-194501,RICHARD EICHHORN,Consumer
RB-194651,RICK BENSLEY,Home Office
RD-194801,RICK DUSTON,Consumer
RH-194951,RICK HANSEN,Consumer
RH-195101,RICK HUTHWAITE,Home Office
RR-195251,RICK REED,Corporate
